0.0,0.0001,0.001,0.04,0.1343,3.1234,276.8436
0.0, 0.0002, 0.0009, 0.0081, 0.0197, 0.1098, 1.1061  
0.0, 0.0003, 0.0008, 0.0078, 0.0199, 0.1092, 1.1065  
0.0, 0.0002, 0.0007, 0.0080, 0.0196, 0.1095, 1.1064  
0.0, 0.0002, 0.0008, 0.0082, 0.0198, 0.1093, 1.1062  
0.0, 0.0003, 0.0009, 0.0077, 0.0200, 0.1096, 1.1067  
0.0, 0.0002, 0.0008, 0.0079, 0.0199, 0.1091, 1.1068  
0.0, 0.0003, 0.0007, 0.0080, 0.0197, 0.1094, 1.1060  
0.0, 0.0002, 0.0009, 0.0078, 0.0198, 0.1097, 1.1066  
0.0, 0.0002, 0.0008, 0.0079, 0.0199, 0.1093, 1.1064  
0.0, 0.0003, 0.0007, 0.0081, 0.0196, 0.1095, 1.1063  
